datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-04-29,510001.0,495433.2327,29112.2939453125,14567.767300000007
2025-04-30,470979.0,455936.79339999997,34265.58984375,15042.206600000034
2025-05-01,482765.0,476350.5073,19492.52734375,6414.4927000000025
2025-05-02,599681.5,605289.0137,27391.017578125,-5607.51370000001
2025-05-03,553679.75,551416.4429,18422.20703125,2263.3070999999763
2025-05-04,638240.25,656532.0433,26786.66259765625,-18291.79330000002
2025-05-05,559419.25,565915.376,19083.240234375,-6496.1260000000475
2025-05-06,624128.25,608304.927,21864.953125,15823.322999999975
2025-05-07,525392.0,530825.3869,13765.1982421875,-5433.386900000041
2025-05-08,490422.75,495447.9294,27840.0009765625,-5025.179400000023
2025-05-09,562784.25,531345.5288,48377.310546875,31438.72120000003
2025-05-10,527705.75,519093.03609999997,24893.64892578125,8612.713900000032
2025-05-11,677195.0,663588.65,20152.4482421875,13606.349999999977
2025-05-12,802295.5,778927.699,58515.01171875,23367.800999999978
2025-05-13,599238.75,574828.6747,50924.53173828125,24410.075300000026
2025-05-14,721235.5,697025.7358,38699.49853515625,24209.764199999976
2025-05-15,756707.5,752963.688,28017.0859375,3743.8120000000345
2025-05-16,665964.0,662051.907,21568.0146484375,3912.0929999999935
2025-05-17,619835.75,621551.8335,24131.5419921875,-1716.0834999999497
2025-05-18,543185.0,542630.9005,21480.150390625,554.0995000000112
2025-05-19,477812.0,480317.6328,14298.492431640625,-2505.6328000000212
2025-05-20,552997.0,543437.6592999999,23705.54931640625,9559.340700000059
2025-05-21,805813.25,799521.669,17700.06640625,6291.581000000006
2025-05-22,833612.5,820419.813,20704.794921875,13192.687000000034
2025-05-23,752424.5,746893.9990000001,23486.220703125,5530.500999999931
2025-05-24,740015.75,733699.102,28860.232421875,6316.648000000045
2025-05-25,702064.5,706954.606,25336.53125,-4890.106000000029
2025-05-26,701748.5,687910.881,31861.1123046875,13837.618999999948
2025-05-27,822005.0,823094.805,37788.5078125,-1089.8050000000512
2025-05-28,734961.75,738268.022,22998.9951171875,-3306.271999999997
2025-05-29,639781.25,629236.994,22900.8173828125,10544.256000000052
2025-05-30,772409.25,755593.0235,34763.44189453125,16816.22649999999
2025-05-31,461656.25,459625.6148,21632.620361328125,2030.6352000000188
2025-06-01,591103.5,591624.035,22039.0048828125,-520.5350000000326
2025-06-02,478832.75,485472.7273,12705.539306640625,-6639.977300000028
2025-06-03,651339.5,621555.0759,45499.612548828125,29784.424099999946
2025-06-04,607465.0,616623.135,21916.0302734375,-9158.13500000001
2025-06-05,688641.0,675945.197,20299.609375,12695.802999999956
2025-06-06,956004.0,935130.033,42062.359375,20873.966999999946
2025-06-07,571917.5,567747.996,20845.515625,4169.503999999957
2025-06-08,829704.75,813354.186,33181.615234375,16350.564000000013
2025-06-09,653487.25,650259.0758,21785.2158203125,3228.1742000000086
2025-06-10,885430.0,871401.033,26421.0830078125,14028.966999999946
2025-06-11,673389.0,652933.2449,36053.7509765625,20455.75509999995
2025-06-12,808882.75,766243.95,55703.6220703125,42638.80000000005
2025-06-13,912603.25,862746.476,65535.119140625,49856.773999999976
2025-06-14,744933.75,744590.4349999999,28851.92578125,343.31500000006054
2025-06-15,513718.25,519438.998,24580.87744140625,-5720.748000000021
2025-06-16,610087.25,603785.8028000001,16484.85205078125,6301.447199999937
2025-06-17,556833.0,526176.1495,45699.51806640625,30656.850499999942
2025-06-18,599129.75,585373.4136,26688.68310546875,13756.33640000003
2025-06-19,713539.0,703699.865,38769.3154296875,9839.13500000001
2025-06-20,574773.25,526215.9639,69486.60107421875,48557.28610000003
2025-06-21,523723.25,505030.8467,39205.927978515625,18692.403300000005
2025-06-22,658062.75,648495.544,28620.3330078125,9567.206000000006
2025-06-23,984455.5,934394.624,58221.87890625,50060.87600000005
2025-06-24,1008597.75,973439.294,47719.09765625,35158.456000000006
2025-06-25,753307.75,738815.3013,43052.1298828125,14492.44869999995
2025-06-26,723677.0,706759.8135,27721.076171875,16917.186499999953
2025-06-27,705926.0,697986.414,23771.35595703125,7939.58600000001
2025-06-28,790201.25,769136.995,35600.8505859375,21064.255000000005
2025-06-29,709776.0,700980.526,27118.287109375,8795.474000000046
2025-06-30,589371.21,560808.9484999999,40063.484257812495,28562.261500000022
2025-07-01,575609.0,568005.3454,21798.983554687504,7603.654600000009
2025-07-02,658147.49,641761.583,34634.6926953125,16385.907000000007
2025-07-03,673775.01,671939.7339,24988.926738281265,1835.2761000000173
2025-07-04,601515.33,579706.7233,34523.29021484374,21808.606700000004
2025-07-05,765069.16,755227.84,26328.53355468748,9841.320000000065
2025-07-06,535800.5,551155.1934,23001.848476562485,-15354.69339999999
2025-07-07,537388.74,527964.8558,17928.28160156249,9423.884199999971
2025-07-08,654150.98,645740.491,18304.022343750006,8410.488999999943
2025-07-09,541271.22,539385.8112,17236.01714843751,1885.4087999999756
2025-07-10,489660.56,492058.8809,14216.579140625,-2398.3208999999915
2025-07-11,573640.56,571223.8484,18470.059335937494,2416.7116000000387
2025-07-12,492564.53,507018.9178,20894.36998046876,-14454.387799999968
2025-07-13,418986.43,413102.5132,13600.31117187499,5883.916800000006
2025-07-14,411705.58,415930.5207,18584.053359375,-4224.940699999977
2025-07-15,521544.6,526603.464,19081.383105468754,-5058.86400000006
2025-07-16,504962.91,506042.5065,14253.710312499994,-1079.5965000000433
2025-07-17,571872.8200000001,575888.3456,15301.395839843744,-4015.5255999999354
2025-07-18,361615.93,361449.3599,11818.624150390624,166.57010000001173
2025-07-19,568812.45,549861.9606,37120.323632812506,18950.489399999962
2025-07-20,535841.54,546986.165,15352.671796875002,-11144.625
2025-07-21,358505.73,359460.1794,29418.81857421875,-954.4494000000414
2025-07-22,671302.3200000001,659235.394,27506.09800781251,12066.926000000094
2025-07-23,781898.29,778453.7555,22289.03263671876,3444.534500000067
2025-07-24,330104.1,334937.2541,12674.012265624997,-4833.154100000043
2025-07-25,385013.23,384083.5627,16294.659931640643,929.6672999999719
2025-07-26,308545.49,312597.5265,12925.711542968756,-4052.0364999999874
2025-07-27,363036.16000000003,362993.01170000003,8442.610742187506,43.148300000000745
2025-07-28,580900.06,571155.475,13458.960195312491,9744.58500000008
2025-07-29,689298.01,684256.271,18677.68046874999,5041.73900000006
2025-07-30,681975.53,683636.671,16279.037890624993,-1661.140999999945
2025-07-31,633157.52,644786.9215,17974.92644531252,-11629.401500000036
2025-08-01,474379.79,466403.0865,18127.225683593748,7976.703500000003
2025-08-02,551954.88,547211.833,19052.683046875012,4743.0470000000205
2025-08-03,624450.4299999999,628011.162,23095.26601562501,-3560.7320000000764
2025-08-04,707822.58,701140.211,25788.61328124999,6682.368999999948
2025-08-05,828663.5,821733.132,31255.949374999986,6930.368000000017
2025-08-06,680926.73,676834.4735,24297.701875,4092.2565000000177
2025-08-07,549221.79,541217.4489,30811.47847656249,8004.341100000078
2025-08-08,526963.4,540016.627,18588.529882812527,-13053.226999999955
2025-08-09,517883.07,508300.8484,26227.849453125014,9582.22159999999
2025-08-10,585621.88,588681.1727,25721.480683593745,-3059.292699999991
2025-08-11,503486.92000000004,479745.0486,44238.975878906254,23741.871400000062
2025-08-12,546049.15,548435.3811,17444.493105468748,-2386.2310999999754
2025-08-13,520940.52,512953.696,27168.022968749996,7986.824000000022
2025-08-14,454915.08,457420.1859,18690.868515625014,-2505.105899999966
2025-08-15,580102.35,561751.6923,33311.84175781249,18350.65769999998
2025-08-16,635714.16,625999.519,26001.806367187502,9714.641000000061
2025-08-17,457110.37,460622.0103,11542.586259765623,-3511.640300000028
2025-08-18,474179.03,448257.18330000003,45705.60579101563,25921.846699999995
2025-08-19,514378.55,495152.9127,43444.01577148438,19225.637300000002
2025-08-20,495858.24,500478.025,17137.408574218753,-4619.785000000033
2025-08-21,584800.61,580167.1253,16991.721679687496,4633.48470000003
2025-08-22,647697.67,649184.723,24336.01113281249,-1487.0529999999562
2025-08-23,609201.43,605604.24,15655.062226562504,3597.1900000000605
2025-08-24,497425.15,492455.1248,18037.987636718746,4970.025200000033
2025-08-25,468944.26,467581.5807,25532.794091796877,1362.679300000018
2025-08-26,501267.12,496808.699,26455.750410156248,4458.420999999973
2025-08-27,486764.13,496805.0334,25893.314140625,-10040.90340000001
2025-08-28,258170.57,273682.7061,18457.838164062498,-15512.136100000003
2025-08-29,473973.58,470105.2235,18218.944960937504,3868.3564999999944
2025-08-30,507870.56,505683.3655,18311.783457031233,2187.1944999999832
2025-08-31,578378.55,590967.8437,27628.42203124998,-12589.293699999922
2025-09-01,414448.26,423968.0221,24833.797695312496,-9519.762099999993
2025-09-02,427440.07,423670.49210000003,13853.3426953125,3769.5778999999748
2025-09-03,881985.78,872922.471,22876.17937500001,9063.309000000008
2025-09-04,623871.9,634571.1084,28132.725195312498,-10699.208400000003
2025-09-05,419137.87,430020.6729,17685.2946484375,-10882.80290000001
2025-09-06,456221.0,431461.4359,38331.14603515625,24759.564100000018
2025-09-07,713904.66,704690.76,22982.639531249995,9213.900000000023
2025-09-08,429785.62,454555.9151,26354.373310546867,-24770.29509999999
2025-09-09,270011.5,276850.3516,14222.559902343755,-6838.8515999999945
2025-09-10,279974.44,276969.8295,16128.287314453126,3004.61050000001
2025-09-11,798053.4,793208.689,28841.475000000002,4844.71100000001
2025-09-12,808261.55,800002.689,26765.990703124997,8258.861000000034
2025-09-13,702988.59,710770.449,23772.702343750017,-7781.859000000055
2025-09-14,560935.56,551462.775,30892.067695312497,9472.785000000033
2025-09-15,1133080.34,1089490.227,46781.89718749998,43590.11300000013
2025-09-16,1115116.69,1079817.255,45457.116562499985,35299.435000000056
2025-09-17,848055.78,836821.2660000001,28728.665859375007,11234.513999999966
2025-09-18,884732.41,870463.158,28304.381015625004,14269.251999999979
2025-09-19,671902.17,657963.4180000001,37825.337968749984,13938.751999999979
2025-09-20,742841.4400000001,741521.991,22127.282773437506,1319.4490000000224
2025-09-21,719366.53,719259.47,24471.671874999993,107.06000000005588
2025-09-22,524235.04000000004,529087.343,18754.383789062504,-4852.302999999956
2025-09-23,501660.05,498853.743,11932.965859375015,2806.3069999999716
2025-09-24,842225.15,829126.646,22400.260781250006,13098.504000000074
2025-09-25,814250.25,814450.515,18568.614921875003,-200.26500000001397
2025-09-26,619776.88,623561.959,15774.891796874994,-3785.079000000027
2025-09-27,369062.65,375407.3033,17449.924648437507,-6344.653300000005
2025-09-28,330654.0,329196.8933,14409.980263671863,1457.106700000004
2025-09-29,324236.64,326515.4803,10404.900458984379,-2278.8402999999817
2025-09-30,325509.76,333344.59859999997,11199.872949218756,-7834.838599999959
2025-10-01,396972.64,397074.6892,17779.208105468755,-102.04920000000857
2025-10-02,502182.1,494962.2015,28180.361230468734,7219.898499999952
2025-10-03,776612.73,764015.937,29506.506796875023,12596.792999999947
2025-10-04,1037643.97,1024552.842,31379.18304687503,13091.128000000026
