Datetime,Price,Temperature,Humidity,WindSpeed,Rain,Volatility_24h,Spike_Flag,Negative_Price,Position,PnL,Cumulative_PnL
2023-06-09 14:00:00,64.06,29.1,27.0,15.5,0.0,14.466966213168964,0,0,1,-0.0,3514.069999999995
2023-06-09 15:00:00,68.39,29.3,27.0,13.7,0.0,14.441363442543748,0,0,1,4.329999999999998,3518.399999999995
2023-06-09 16:00:00,72.64,27.7,33.0,16.2,0.0,14.37572044823236,0,0,1,4.25,3522.649999999995
2023-06-09 17:00:00,80.63,27.4,32.0,11.9,0.0,14.259293073262938,0,0,1,7.989999999999995,3530.639999999995
2023-06-09 18:00:00,95.0,27.7,34.0,11.9,0.0,14.338153109845718,0,0,0,14.370000000000005,3545.0099999999948
2023-06-09 19:00:00,104.12,26.7,35.0,13.3,0.0,14.438691352437166,0,0,0,0.0,3545.0099999999948
2023-06-09 20:00:00,106.45,25.5,42.0,8.3,0.0,13.915160113278967,0,0,0,0.0,3545.0099999999948
2023-06-09 21:00:00,104.12,24.1,49.0,8.6,0.0,13.866442752248261,0,0,0,-0.0,3545.0099999999948
2023-06-09 22:00:00,97.48,21.6,56.0,10.4,0.0,13.895074816876509,0,0,0,-0.0,3545.0099999999948
2023-06-09 23:00:00,86.0,20.1,60.0,9.4,0.0,13.868263053051187,0,0,0,-0.0,3545.0099999999948
2023-06-10 00:00:00,89.03,20.0,61.0,7.9,0.0,13.765774192916416,0,0,0,0.0,3545.0099999999948
2023-06-10 01:00:00,84.1,20.0,60.0,8.6,0.0,13.755482279933037,0,0,0,-0.0,3545.0099999999948
2023-06-10 02:00:00,84.13,18.6,64.0,7.9,0.0,13.694664781519466,0,0,0,0.0,3545.0099999999948
2023-06-10 03:00:00,80.32,18.8,61.0,9.0,0.0,13.58014343267783,0,0,0,-0.0,3545.0099999999948
2023-06-10 04:00:00,77.44,18.7,59.0,10.1,0.0,13.543630562160086,0,0,0,-0.0,3545.0099999999948
2023-06-10 05:00:00,79.87,19.0,58.0,9.7,0.0,13.601252153564985,0,0,0,0.0,3545.0099999999948
2023-06-10 06:00:00,79.43,20.9,50.0,7.6,0.0,13.13793014574292,0,0,0,-0.0,3545.0099999999948
2023-06-10 07:00:00,85.0,22.2,46.0,14.0,0.0,12.516654036155062,0,0,0,0.0,3545.0099999999948
2023-06-10 08:00:00,81.8,23.7,44.0,13.3,0.0,11.812068993744068,0,0,0,-0.0,3545.0099999999948
2023-06-10 09:00:00,63.99,25.8,40.0,13.0,0.0,12.329629800379996,0,0,0,-0.0,3545.0099999999948
2023-06-10 10:00:00,26.91,27.6,38.0,12.2,0.0,16.738221421062146,0,0,1,-0.0,3545.0099999999948
2023-06-10 11:00:00,12.51,27.7,36.0,14.0,0.0,21.68961742785217,0,0,1,-14.4,3530.6099999999947
2023-06-10 12:00:00,0.08,29.9,29.0,17.3,0.0,26.820866133382925,0,0,1,-12.43,3518.179999999995
2023-06-10 13:00:00,-19.96,30.0,29.0,14.0,0.0,33.02204598468135,0,1,1,-20.04,3498.139999999995
2023-06-10 14:00:00,-20.03,29.4,31.0,14.8,0.0,37.89052909990739,0,1,1,-0.07000000000000028,3498.0699999999947
2023-06-10 15:00:00,-4.97,30.0,28.0,15.5,0.0,40.67069765377573,0,1,1,15.060000000000002,3513.1299999999947
2023-06-10 16:00:00,2.54,29.7,30.0,12.2,0.0,42.52942914379419,0,0,1,7.51,3520.639999999995
2023-06-10 17:00:00,44.5,29.9,30.0,16.2,0.0,42.46222166632933,0,0,1,41.96,3562.599999999995
2023-06-10 18:00:00,74.97,28.5,36.0,18.0,0.0,41.937881960072914,0,0,0,30.47,3593.0699999999947
2023-06-10 19:00:00,86.16,26.7,43.0,13.3,0.0,41.255418649368835,0,0,0,0.0,3593.0699999999947
2023-06-10 20:00:00,86.07,25.5,46.0,9.0,0.0,40.425023995492424,0,0,0,-0.0,3593.0699999999947
2023-06-10 21:00:00,78.63,24.6,48.0,10.1,0.0,39.472248919747585,0,0,0,-0.0,3593.0699999999947
2023-06-10 22:00:00,80.99,23.0,53.0,10.4,0.0,38.86678122030999,0,0,0,0.0,3593.0699999999947
2023-06-10 23:00:00,69.55,22.3,56.0,9.4,0.0,38.45414324372083,0,0,0,-0.0,3593.0699999999947
2023-06-11 00:00:00,64.77,21.2,61.0,9.4,0.0,37.838134394981175,0,0,0,-0.0,3593.0699999999947
2023-06-11 01:00:00,58.07,20.8,63.0,9.4,0.0,37.31071555828054,0,0,0,-0.0,3593.0699999999947
