Date,Daily_PnL,Cumulative_PnL,Running_Peak,Drawdown,Rolling_Volatility,Rolling_Mean,Rolling_Sharpe,VaR95,Month
2023-04-12,0.0,1540.81,1540.81,0.0,27.193172537305713,18.318666666666665,10.693854043796817,0.0,2023-04
2023-04-13,42.18000000000001,1582.99,1582.99,0.0,27.303577476010453,19.724666666666668,11.468071407015657,0.0,2023-04
2023-04-14,0.0,1582.99,1582.99,0.0,27.303577476010453,19.724666666666668,11.468071407015657,0.0,2023-04
2023-04-15,29.03,1612.02,1612.02,0.0,27.094031876657503,20.692333333333334,12.123725614898653,0.0,2023-04
2023-04-16,0.0,1612.02,1612.02,0.0,26.46990806101563,18.805000000000003,11.277716557960868,0.0,2023-04
2023-04-17,0.0,1612.02,1612.02,0.0,26.669332088055526,18.00466666666667,10.71699964918486,0.0,2023-04
2023-04-18,52.83000000000001,1664.85,1664.85,0.0,27.178812194407065,19.76566666666667,11.544663127293058,0.0,2023-04
2023-04-19,30.11,1694.9599999999998,1694.9599999999998,0.0,26.978951173772142,20.769333333333336,12.220747324682847,0.0,2023-04
2023-04-20,0.0,1694.9599999999998,1694.9599999999998,0.0,26.978951173772142,20.76933333333334,12.220747324682849,0.0,2023-04
2023-04-21,94.65,1789.61,1789.61,0.0,28.58472988579178,21.450333333333337,11.912426200881798,0.0,2023-04
2023-04-22,84.98,1874.59,1874.59,0.0,30.530198972662205,24.283000000000005,12.626209048446148,0.0,2023-04
2023-04-23,90.23,1964.82,1964.82,0.0,31.865501765367203,25.022000000000002,12.465265375625002,0.0,2023-04
2023-04-24,0.0,1964.82,1964.82,0.0,31.865501765367203,25.022000000000002,12.465265375625002,0.0,2023-04
2023-04-25,28.120000000000005,1992.94,1992.94,0.0,31.515751500538226,25.959333333333333,13.075735833211489,0.0,2023-04
2023-04-26,0.0,1992.94,1992.94,0.0,31.426403645532737,24.185666666666673,12.21697398418045,0.0,2023-04
2023-04-27,0.0,1992.94,1992.94,0.0,31.426403645532737,24.185666666666673,12.21697398418045,0.0,2023-04
2023-04-28,0.0,1992.94,1992.94,0.0,31.426403645532737,24.185666666666673,12.21697398418045,0.0,2023-04
2023-04-29,36.13,2029.0700000000002,2029.0700000000002,0.0,30.320936592758287,23.062000000000005,12.074096039040784,0.0,2023-04
2023-04-30,20.569999999999997,2049.6400000000003,2049.6400000000003,0.0,30.012449564315375,23.747666666666667,12.560871464373212,0.0,2023-04
2023-05-01,65.59,2115.2300000000005,2115.2300000000005,0.0,30.950102484371566,24.899,12.770858240769057,0.0,2023-05
2023-05-02,0.0,2115.2300000000005,2115.2300000000005,0.0,29.810140411935496,22.421000000000003,11.939639865962176,0.0,2023-05
2023-05-03,46.260000000000005,2161.4900000000007,2161.4900000000007,0.0,29.806822541156574,23.963000000000005,12.762206755751846,0.0,2023-05
2023-05-04,55.35999999999999,2216.850000000001,2216.850000000001,0.0,29.98525040672535,25.808333333333337,13.66320390729377,0.0,2023-05
2023-05-05,0.0,2216.850000000001,2216.850000000001,0.0,29.98525040672535,25.808333333333337,13.66320390729377,0.0,2023-05
