Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2016-04-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-04-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-04-01,Solar,mtCO2,0.02
Belgium,BEL,2016-04-01,Wind,mtCO2,0.0
Belgium,BEL,2016-05-01,Demand,TWh,6.83
Belgium,BEL,2016-05-01,Bioenergy,%,3.89
Belgium,BEL,2016-05-01,Coal,%,0.0
Belgium,BEL,2016-05-01,Gas,%,21.11
Belgium,BEL,2016-05-01,Hydro,%,0.34
Belgium,BEL,2016-05-01,Nuclear,%,53.38
Belgium,BEL,2016-05-01,Solar,%,6.93
Belgium,BEL,2016-05-01,Wind,%,5.41
Belgium,BEL,2016-05-01,Bioenergy,TWh,0.23
Belgium,BEL,2016-05-01,Coal,TWh,0.0
Belgium,BEL,2016-05-01,Gas,TWh,1.25
Belgium,BEL,2016-05-01,Hydro,TWh,0.02
Belgium,BEL,2016-05-01,Nuclear,TWh,3.16
Belgium,BEL,2016-05-01,Solar,TWh,0.41
Belgium,BEL,2016-05-01,Wind,TWh,0.32
Belgium,BEL,2016-05-01,Total Generation,TWh,5.92
Belgium,BEL,2016-05-01,Net Imports,TWh,0.91
Belgium,BEL,2016-05-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2016-05-01,Coal,mtCO2,0.0
Belgium,BEL,2016-05-01,Gas,mtCO2,0.53
Belgium,BEL,2016-05-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-05-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-05-01,Solar,mtCO2,0.02
Belgium,BEL,2016-05-01,Wind,mtCO2,0.0
Belgium,BEL,2016-06-01,Demand,TWh,6.73
Belgium,BEL,2016-06-01,Bioenergy,%,4.2
Belgium,BEL,2016-06-01,Coal,%,0.0
Belgium,BEL,2016-06-01,Gas,%,21.85
Belgium,BEL,2016-06-01,Hydro,%,0.52
Belgium,BEL,2016-06-01,Nuclear,%,54.72
Belgium,BEL,2016-06-01,Solar,%,5.77
Belgium,BEL,2016-06-01,Wind,%,4.9
Belgium,BEL,2016-06-01,Bioenergy,TWh,0.24
Belgium,BEL,2016-06-01,Coal,TWh,0.0
Belgium,BEL,2016-06-01,Gas,TWh,1.25
Belgium,BEL,2016-06-01,Hydro,TWh,0.03
Belgium,BEL,2016-06-01,Nuclear,TWh,3.13
Belgium,BEL,2016-06-01,Solar,TWh,0.33
Belgium,BEL,2016-06-01,Wind,TWh,0.28
Belgium,BEL,2016-06-01,Total Generation,TWh,5.72
Belgium,BEL,2016-06-01,Net Imports,TWh,1.01
Belgium,BEL,2016-06-01,Bioenergy,mtCO2,0.06
Belgium,BEL,2016-06-01,Coal,mtCO2,0.0
Belgium,BEL,2016-06-01,Gas,mtCO2,0.53
Belgium,BEL,2016-06-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-06-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-06-01,Solar,mtCO2,0.02
Belgium,BEL,2016-06-01,Wind,mtCO2,0.0
Belgium,BEL,2016-07-01,Demand,TWh,6.52
