timestamp,country,price_eur_mwh,resolution
2020-01-15 02:00:00+00:00,france,11.09,PT60M
2020-01-15 03:00:00+00:00,france,10.52,PT60M
2020-01-15 04:00:00+00:00,france,19.15,PT60M
2020-01-15 05:00:00+00:00,france,30.02,PT60M
2020-01-15 06:00:00+00:00,france,38.53,PT60M
2020-01-15 07:00:00+00:00,france,41.64,PT60M
2020-01-15 08:00:00+00:00,france,39.54,PT60M
2020-01-15 09:00:00+00:00,france,35.24,PT60M
2020-01-15 10:00:00+00:00,france,34.06,PT60M
2020-01-15 11:00:00+00:00,france,32.0,PT60M
2020-01-15 12:00:00+00:00,france,31.27,PT60M
2020-01-15 13:00:00+00:00,france,33.47,PT60M
2020-01-15 14:00:00+00:00,france,34.46,PT60M
2020-01-15 15:00:00+00:00,france,36.54,PT60M
2020-01-15 16:00:00+00:00,france,43.32,PT60M
2020-01-15 17:00:00+00:00,france,44.14,PT60M
2020-01-15 18:00:00+00:00,france,44.25,PT60M
2020-01-15 19:00:00+00:00,france,38.02,PT60M
2020-01-15 21:00:00+00:00,france,35.42,PT60M
2020-01-15 22:00:00+00:00,france,32.39,PT60M
2020-01-15 23:00:00+00:00,france,31.17,PT60M
2020-01-16 00:00:00+00:00,france,31.18,PT60M
2020-01-16 01:00:00+00:00,france,30.8,PT60M
2020-01-16 02:00:00+00:00,france,29.9,PT60M
2020-01-16 03:00:00+00:00,france,29.72,PT60M
2020-01-16 04:00:00+00:00,france,31.1,PT60M
2020-01-16 05:00:00+00:00,france,38.7,PT60M
2020-01-16 06:00:00+00:00,france,45.42,PT60M
2020-01-16 07:00:00+00:00,france,52.4,PT60M
2020-01-16 08:00:00+00:00,france,47.0,PT60M
2020-01-16 09:00:00+00:00,france,43.51,PT60M
2020-01-16 10:00:00+00:00,france,42.1,PT60M
2020-01-16 11:00:00+00:00,france,40.36,PT60M
2020-01-16 12:00:00+00:00,france,40.08,PT60M
2020-01-16 13:00:00+00:00,france,36.81,PT60M
2020-01-16 14:00:00+00:00,france,32.49,PT60M
2020-01-16 15:00:00+00:00,france,32.87,PT60M
2020-01-16 16:00:00+00:00,france,40.84,PT60M
